ID,Gender,Car,Reality,ChildNo,Income,IncomeType,Edutype,FamilyType,HouseType,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,Wkphone,Phone,Email,Occupy,FamilySize,MONTHS_BALANCE,STATUS,isBad
5008804,1,1,1,-0.5796609024426633,2.365845330043234,4,1,0,4,-12005,-4542,1,1,0,0,0,-0.21767983988774908,16,1,0
5008805,1,1,1,-0.5796609024426633,2.365845330043234,4,1,0,4,-12005,-4542,1,1,0,0,0,-0.21767983988774908,15,1,0
5008806,1,1,1,-0.5796609024426633,-0.7288271724686395,4,4,1,1,-21474,-1134,1,0,0,0,1,-0.21767983988774908,30,0,1
5008808,0,0,1,-0.5796609024426633,0.8185090787872972,0,4,3,1,-19110,-3051,1,0,1,1,1,-1.3145635887181122,5,0,0
5008809,0,0,1,-0.5796609024426633,0.8185090787872972,0,4,3,1,-19110,-3051,1,0,1,1,1,-1.3145635887181122,5,0,0
5008810,0,0,1,-0.5796609024426633,0.8185090787872972,0,4,3,1,-19110,-3051,1,0,1,1,1,-1.3145635887181122,27,0,1
5008811,0,0,1,-0.5796609024426633,0.8185090787872972,0,4,3,1,-19110,-3051,1,0,1,1,1,-1.3145635887181122,39,0,1
5008812,0,0,1,-0.5796609024426633,0.9511379003235203,1,1,2,1,-22464,365243,1,0,0,0,0,-1.3145635887181122,17,0,0
5008813,0,0,1,-0.5796609024426633,0.9511379003235203,1,1,2,1,-22464,365243,1,0,0,0,0,-1.3145635887181122,17,0,0
5008814,0,0,1,-0.5796609024426633,0.9511379003235203,1,1,2,1,-22464,365243,1,0,0,0,0,-1.3145635887181122,17,0,0
5008815,1,1,1,-0.5796609024426633,0.8185090787872972,4,1,1,1,-16872,-769,1,1,1,1,1,-0.21767983988774908,6,0,0
5112956,1,1,1,-0.5796609024426633,0.8185090787872972,4,1,1,1,-16872,-769,1,1,1,1,1,-0.21767983988774908,43,0,1
5008819,1,1,1,-0.5796609024426633,-0.5077791365749342,0,4,1,1,-17778,-1194,1,0,0,0,1,-0.21767983988774908,8,0,0
5008820,1,1,1,-0.5796609024426633,-0.5077791365749342,0,4,1,1,-17778,-1194,1,0,0,0,1,-0.21767983988774908,9,0,0
5008821,1,1,1,-0.5796609024426633,-0.5077791365749342,0,4,1,1,-17778,-1194,1,0,0,0,1,-0.21767983988774908,9,0,0
5008822,1,1,1,-0.5796609024426633,-0.5077791365749342,0,4,1,1,-17778,-1194,1,0,0,0,1,-0.21767983988774908,9,0,0
5008823,1,1,1,-0.5796609024426633,-0.5077791365749342,0,4,1,1,-17778,-1194,1,0,0,0,1,-0.21767983988774908,5,0,0
